ID,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
300000,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,0,Yes,None,Historical,Yes,2.6,Evening
300001,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,30,Yes,None,Historical,Yes,0.4,Afternoon
300002,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,60,Yes,None,Religious,No,0.4,Afternoon
300003,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,50,Yes,Monday,Environmental,Yes,0.27,Evening
300004,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,15,Yes,None,Scientific,Yes,0.31,Morning
300005,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,0,Yes,Sunday,Market,Yes,0.25,Afternoon
300006,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,0,Yes,Monday,Religious,Yes,0.59,Evening
300007,Northern,Delhi,Delhi,Red Fort,Fort,1648,2,35,Yes,None,Historical,Yes,1.5,Afternoon
300008,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,0,Yes,None,Historical,Yes,0.41,Afternoon
300009,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,0,Yes,None,Botanical,Yes,0.16,Afternoon
300010,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,35,Yes,None,Botanical,Yes,0.23,Morning
300011,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,0,Yes,None,Botanical,Yes,0.48,All
300012,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,20,Yes,Monday,Artistic,Yes,0.08,All
300013,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,80,Yes,Friday,Environmental,Yes,0.41,All
300014,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,35,Yes,None,Historical,Yes,1.37,Afternoon
300015,Northern,Delhi,Delhi,National Science Centre,Science,1992,5,70,Yes,None,Scientific,Yes,0.23,All
300016,Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2,0,Yes,None,Scenic,Yes,1.5,Evening
300017,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1,0,Yes,None,Historical,Yes,3.6,All
300018,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,500,Yes,None,Historical,Yes,0.34,All
300019,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,50,Yes,Monday,Wildlife,Yes,0.6,All
300020,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2,0,Yes,None,Religious,No,1.05,All
300021,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1,0,Yes,None,Religious,No,0.33,All
300022,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,0,Yes,None,Religious,No,0.16,All
300023,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2,0,Yes,None,Recreational,Yes,0.05,Evening
300024,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5,1149,Yes,None,Recreational,Yes,0.27,All
300025,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4,550,Yes,None,Historical,Yes,0.35,All 
300026,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5,1149,No,Monday,Recreational,Yes,0.95,All
300027,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,500,Yes,Monday,Historical,Yes,0.9,Morning
300028,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,20,Yes,None,Nature,Yes,1.5,Evening
300029,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,0,Yes,None,Nature,Yes,1.32,Morning
300030,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,0,Yes,None,Architectural,No,0.8,Morning
300031,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,0,Yes,None,Religious,Yes,1.14,Evening
300032,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,25,Yes,Friday,Historical,Yes,2.1,Morning
300033,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,30,Yes,None,Historical,Yes,1.2,Morning
300034,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,0,Yes,None,Scenic,Yes,0.5,Evening
300035,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,1150,Yes,None,Entertainment,Yes,0.45,All
300036,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,20,Yes,None,Historical,Yes,0.67,All
300037,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,25,Yes,None,Historical,Yes,0.2,Morning
300038,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,0,Yes,None,Religious,No,0.41,All
300039,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,80,Yes,None,Historical,Yes,0.45,Morning
300040,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,50,Yes,None,Wildlife,Yes,0.86,Morning
300041,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,20,Yes,None,Recreational,Yes,0.73,Evening
300042,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,30,Yes,Monday,Historical,Yes,0.73,Morning
